symbol,baseAsset,quoteAsset,status
ETHBTC,ETH,BTC,TRADING
LTCBTC,LTC,BTC,TRADING
BNBBTC,BNB,BTC,TRADING
NEOBTC,NEO,BTC,TRADING
QTUMETH,QTUM,ETH,TRADING
EOSETH,EOS,ETH,TRADING
SNTETH,SNT,ETH,TRADING
BNTETH,BNT,ETH,TRADING
BCCBTC,BCC,BTC,BREAK
GASBTC,GAS,BTC,TRADING
BNBETH,BNB,ETH,TRADING
BTCUSDT,BTC,USDT,TRADING
ETHUSDT,ETH,USDT,TRADING
HSRBTC,HSR,BTC,BREAK
OAXETH,OAX,ETH,BREAK
DNTETH,DNT,ETH,BREAK
MCOETH,MCO,ETH,BREAK
ICNETH,ICN,ETH,BREAK
MCOBTC,MCO,BTC,BREAK
WTCBTC,WTC,BTC,TRADING
WTCETH,WTC,ETH,BREAK
LRCBTC,LRC,BTC,TRADING
LRCETH,LRC,ETH,TRADING
QTUMBTC,QTUM,BTC,TRADING
YOYOBTC,YOYO,BTC,BREAK
OMGBTC,OMG,BTC,TRADING
OMGETH,OMG,ETH,TRADING
ZRXBTC,ZRX,BTC,TRADING
ZRXETH,ZRX,ETH,TRADING
STRATBTC,STRAT,BTC,BREAK
STRATETH,STRAT,ETH,BREAK
SNGLSBTC,SNGLS,BTC,BREAK
SNGLSETH,SNGLS,ETH,BREAK
BQXBTC,BQX,BTC,BREAK
BQXETH,BQX,ETH,BREAK
KNCBTC,KNC,BTC,TRADING
KNCETH,KNC,ETH,TRADING
FUNBTC,FUN,BTC,BREAK
FUNETH,FUN,ETH,TRADING
SNMBTC,SNM,BTC,TRADING
SNMETH,SNM,ETH,BREAK
NEOETH,NEO,ETH,TRADING
IOTABTC,IOTA,BTC,TRADING
IOTAETH,IOTA,ETH,TRADING
LINKBTC,LINK,BTC,TRADING
LINKETH,LINK,ETH,TRADING
XVGBTC,XVG,BTC,BREAK
XVGETH,XVG,ETH,TRADING
SALTBTC,SALT,BTC,BREAK
SALTETH,SALT,ETH,BREAK
MDABTC,MDA,BTC,BREAK
MDAETH,MDA,ETH,BREAK
MTLBTC,MTL,BTC,TRADING
MTLETH,MTL,ETH,TRADING
SUBBTC,SUB,BTC,BREAK
SUBETH,SUB,ETH,BREAK
EOSBTC,EOS,BTC,TRADING
SNTBTC,SNT,BTC,TRADING
ETCETH,ETC,ETH,TRADING
ETCBTC,ETC,BTC,TRADING
MTHBTC,MTH,BTC,BREAK
MTHETH,MTH,ETH,BREAK
ENGBTC,ENG,BTC,BREAK
ENGETH,ENG,ETH,BREAK
DNTBTC,DNT,BTC,BREAK
ZECBTC,ZEC,BTC,TRADING
ZECETH,ZEC,ETH,TRADING
BNTBTC,BNT,BTC,TRADING
ASTBTC,AST,BTC,TRADING
ASTETH,AST,ETH,BREAK
DASHBTC,DASH,BTC,TRADING
DASHETH,DASH,ETH,TRADING
OAXBTC,OAX,BTC,TRADING
ICNBTC,ICN,BTC,BREAK
BTGBTC,BTG,BTC,BREAK
BTGETH,BTG,ETH,BREAK
EVXBTC,EVX,BTC,BREAK
EVXETH,EVX,ETH,BREAK
REQBTC,REQ,BTC,TRADING
REQETH,REQ,ETH,BREAK
VIBBTC,VIB,BTC,TRADING
VIBETH,VIB,ETH,TRADING
